"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"CH1","PCB-xrqhdd8vohmcdf5jpup6-1","130.35mm","113mm","130.5mm","113mm","131.897mm","114.016mm","T","90.00","Binder 09 0416 90 05"
"PWR","PCB-cew32lc1id8viylqw7kc-1","112mm","113mm","112mm","113mm","113.1mm","111.9mm","T","90.00","Binder 09 0412 90 04"
"U3","PCB-vi9mwvbfu59804fvghnf-1","117mm","143mm","117mm","143mm","108.5mm","151.755mm","T","0.00","Espressif Systems ESP32-WROOM-32U"
"J1","PCB-qkngfwumds4pa5a4mwtz-1","139.5mm","127mm","139.5mm","127mm","140.77mm","142.875mm","B","270.00","Würth Elektronik 690357102672"
"J2","PCB-qkngfwumds4pa5a4mwtz-1","103mm","127mm","103mm","127mm","101.73mm","111.125mm","B","90.00","Würth Elektronik 690357102672"
"D1","PCB-chcn99imho3pthlaq6dn-1","133.3mm","120mm","133.3mm","120mm","132.35mm","119mm","T","90.00","NXP Semiconductors PESD2CAN,215"
"R1","R_0603_HI","112.6538mm","128.878mm","112.6538mm","128.878mm","113.3038mm","128.878mm","T","180.00","Yageo RC0603FR-0710KL"
"C1","PCB-mhhqftc5ilnrg4qi8ds6-1","118.6mm","127mm","118.6mm","127mm","117.9mm","127mm","T","360.00","100nF"
"C2","PCB-mhhqftc5ilnrg4qi8ds6-1","110mm","126.9mm","110mm","126.9mm","109.3mm","126.9mm","T","360.00","100nF"
"R2","R_0603_HI","109.0538mm","128.878mm","109.0538mm","128.878mm","109.7038mm","128.878mm","T","180.00","Yageo RC0603FR-0710KL"
"Q1","PCB-ziwija0k6kzehc3r3ytq-1","113.0123mm","131.2962mm","113.0124mm","131.2962mm","112.0624mm","130.2962mm","T","90.00","ON Semiconductor KSC1623LMTF"
"Q2","PCB-ziwija0k6kzehc3r3ytq-1","109.4124mm","131.2962mm","109.4124mm","131.2962mm","108.4624mm","130.2962mm","T","90.00","ON Semiconductor KSC1623LMTF"
"R3","RESC1608X55X25LL10T15","130.5mm","123.9mm","130.5mm","123.9mm","129.85mm","123.9mm","T","360.00","Yageo AC0603JR-07100RL"
"R4","RESC1608X55X30NL20T20","130.7mm","130.6mm","130.7mm","130.6mm","130.7mm","131.25mm","T","270.00","Panasonic ERA-3YEB103V"
"C3","CAPC1608X90X35ML10T15","131.6mm","122.4mm","131.6mm","122.4mm","130.875mm","122.4mm","T","360.00","Murata GCM188R71H102KA37D"
"C4","CAPC1608X90X35ML10T15","135mm","122.4mm","135mm","122.4mm","135.725mm","122.4mm","T","180.00","Murata GCM188R71H102KA37D"
"Boot","430182043816","110mm","122.4mm","110mm","122.4mm","112.25mm","126.375mm","T","270.00","430182043816"
"C5","PCB-mhhqftc5ilnrg4qi8ds6-1","105.15mm","144.9mm","105.15mm","144.9mm","105.85mm","144.9mm","T","180.00","100nF"
"C6","PCB-mhhqftc5ilnrg4qi8ds6-1","105.15mm","147.9mm","105.15mm","147.9mm","104.45mm","147.9mm","T","0.00","100nF"
"EN","430182043816","118.6mm","122.5mm","118.6mm","122.5mm","120.85mm","126.475mm","T","270.00","430182043816"
"L1","WE-SL1","134mm","127.5mm","134mm","127.5mm","135.25mm","124.95mm","T","90.00","744212101"
"R5","PCB-v68sgn6ke4f14exp45ms-1","130.7mm","127.8mm","130.7mm","127.8mm","130.7mm","128.45mm","T","270.00","Res1"
"R6","R_0603_HI","105.15mm","146.4mm","105.15mm","146.4mm","104.5mm","146.4mm","T","0.00","Yageo RC0603FR-0710KL"
"U1","D8_M","131.9mm","134.8mm","131.9mm","134.8mm","129.45mm","136.705mm","T","360.00","SN65HVD230QD"
"U2","PCB-11-4M1S","126.73mm","127.4mm","128mm","130.9mm","128mm","130.9mm","T","270.00","TLP175A"
"USR LED","VISH-LED0603-2_V","119.3mm","130.7mm","119.3mm","130.7mm","118.55mm","130.7mm","T","360.00","Vishay VLMW1300-GS08"
"R8","RESC1608X55X30NL20T20","122.5mm","130.7mm","122.5mm","130.7mm","123.15mm","130.7mm","T","180.00","Panasonic ERA3AEB6810V"
"DISPLAY","PCB-nzup0ao0a905uvbg1qqh-1","121.25mm","102.995mm","121.25mm","101.5mm","119.75mm","101.5mm","T","360.00","Molex 503763-0491"
"J3","PCB-9vw2tn6cyeyvh5x8bbxa-1","131.93mm","145.21mm","133.2mm","141.4mm","133.2mm","141.4mm","T","90.00","TE Connectivity 5-146256-4"

