"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"R2","PCB-xa88fof6me2djvx7pfp2-1","122.5mm","144mm","122.5mm","144mm","122.5mm","144.7mm","T","270.00","Res1"
"R1","PCB-xa88fof6me2djvx7pfp2-1","120mm","144mm","120mm","144mm","120mm","144.7mm","T","270.00","Res1"
"JTAG","PCB-zeumetx1dr0218b14v4a-1","121.215mm","148mm","121.85mm","148mm","115.5mm","146.73mm","T","180.00","Würth Elektronik 490107671012"
"J3","PCB-0s34z00om61ronl3soi2-1","121.248mm","108mm","121.248mm","104.7mm","117.498mm","111.3mm","T","0.00","Phoenix Contact 1702474"
"J2","PCB-qkngfwumds4pa5a4mwtz-1","103mm","127mm","103mm","127mm","101.73mm","111.125mm","B","90.00","Würth Elektronik 690357102672"
"J1","PCB-qkngfwumds4pa5a4mwtz-1","139.5mm","127mm","139.5mm","127mm","140.77mm","142.875mm","B","270.00","Würth Elektronik 690357102672"
"J4","SMTC-SSW-112-01-X-S","132.5mm","127.47mm","132.5mm","113.5mm","132.5mm","113.5mm","T","90.00","SSW-112-01-T-S"
"J5","SMTC-SSW-112-01-X-S","110mm","127.53mm","110mm","141.5mm","110mm","141.5mm","T","270.00","SSW-112-01-T-S"
"RST","430182043816","121.25mm","127mm","121.25mm","127mm","123.5mm","130.975mm","T","270.00","430182043816"

